timestamp,voltage,current,frequency
2024-01-03 18:40:00,217.37,6.12,49.99
2024-01-03 18:42:00,217.18,6.15,50.0
2024-01-03 18:44:00,217.06,6.08,50.01
2024-01-03 18:46:00,216.77,6.16,50.01
2024-01-03 18:48:00,216.84,6.22,50.02
2024-01-03 18:50:00,216.54,6.28,50.02
2024-01-03 18:52:00,216.49,6.22,50.02
2024-01-03 18:54:00,216.63,6.29,50.02
2024-01-03 18:56:00,216.52,6.18,50.03
2024-01-03 18:58:00,215.99,6.08,50.03
2024-01-03 19:00:00,215.42,6.17,50.03
2024-01-03 19:02:00,215.11,6.13,50.03
2024-01-03 19:04:00,215.41,6.11,50.04
2024-01-03 19:06:00,215.69,6.23,50.05
2024-01-03 19:08:00,216.46,6.15,50.05
2024-01-03 19:10:00,216.32,6.17,50.07
2024-01-03 19:12:00,215.85,6.14,50.08
2024-01-03 19:14:00,216.2,6.16,50.09
2024-01-03 19:16:00,216.32,6.25,50.09
2024-01-03 19:18:00,216.68,6.3,50.1
2024-01-03 19:20:00,216.7,6.2,50.09
2024-01-03 19:22:00,217.54,6.16,50.09
2024-01-03 19:24:00,217.24,6.21,50.1
2024-01-03 19:26:00,217.07,6.19,50.08
2024-01-03 19:28:00,217.13,6.18,50.1
2024-01-03 19:30:00,216.86,6.1,50.09
2024-01-03 19:32:00,216.4,6.24,50.11
2024-01-03 19:34:00,216.51,6.23,50.11
2024-01-03 19:36:00,216.48,6.15,50.11
2024-01-03 19:38:00,215.93,6.19,50.11
2024-01-03 19:40:00,216.19,6.18,50.1
2024-01-03 19:42:00,215.89,6.19,50.11
2024-01-03 19:44:00,215.49,6.19,50.11
2024-01-03 19:46:00,215.24,6.17,50.12
2024-01-03 19:48:00,215.0,6.22,50.11
2024-01-03 19:50:00,215.37,6.31,50.1
2024-01-03 19:52:00,215.56,6.15,50.11
2024-01-03 19:54:00,215.12,6.22,50.1
2024-01-03 19:56:00,215.04,6.15,50.11
2024-01-03 19:58:00,215.0,6.23,50.11
2024-01-03 20:00:00,215.0,6.21,50.1
2024-01-03 20:02:00,215.07,6.28,50.09
2024-01-03 20:04:00,215.48,6.27,50.08
2024-01-03 20:06:00,215.0,6.22,50.08
2024-01-03 20:08:00,215.65,6.19,50.07
2024-01-03 20:10:00,215.25,6.25,50.06
2024-01-03 20:12:00,215.27,6.24,50.06
2024-01-03 20:14:00,215.25,6.19,50.06
2024-01-03 20:16:00,215.46,6.18,50.07
2024-01-03 20:18:00,215.33,6.12,50.07
2024-01-03 20:20:00,215.99,6.14,50.06
2024-01-03 20:22:00,215.69,6.22,50.06
2024-01-03 20:24:00,215.63,6.14,50.07
2024-01-03 20:26:00,215.08,6.21,50.07
2024-01-03 20:28:00,215.0,6.12,50.09
2024-01-03 20:30:00,215.0,6.26,50.09
2024-01-03 20:32:00,215.0,6.22,50.08
2024-01-03 20:34:00,215.05,6.18,50.07
2024-01-03 20:36:00,215.16,6.18,50.07
2024-01-03 20:38:00,215.0,6.28,50.07
2024-01-03 20:40:00,215.34,6.18,50.06
2024-01-03 20:42:00,216.02,6.18,50.05
2024-01-03 20:44:00,216.17,6.24,50.05
2024-01-03 20:46:00,216.61,6.22,50.04
2024-01-03 20:48:00,216.38,6.22,50.01
2024-01-03 20:50:00,216.33,6.1,50.01
2024-01-03 20:52:00,216.22,6.16,50.0
2024-01-03 20:54:00,215.84,6.3,50.02
2024-01-03 20:56:00,215.43,6.27,50.02
2024-01-03 20:58:00,215.48,6.19,50.01
2024-01-03 21:00:00,215.82,6.19,50.0
2024-01-03 21:02:00,215.36,6.15,49.99
2024-01-03 21:04:00,215.37,6.13,49.98
2024-01-03 21:06:00,215.85,6.24,49.98
2024-01-03 21:08:00,215.82,6.28,49.99
2024-01-03 21:10:00,215.7,6.11,49.99
2024-01-03 21:12:00,215.99,6.15,50.0
2024-01-03 21:14:00,215.87,6.17,49.97
2024-01-03 21:16:00,215.79,6.23,49.97
2024-01-03 21:18:00,215.81,6.15,49.97
2024-01-03 21:20:00,215.73,6.14,49.98
2024-01-03 21:22:00,216.06,6.15,49.99
2024-01-03 21:24:00,216.24,6.21,49.97
2024-01-03 21:26:00,216.6,6.14,49.97
2024-01-03 21:28:00,217.52,6.16,49.96
2024-01-03 21:30:00,216.75,6.23,49.95
2024-01-03 21:32:00,216.4,6.16,49.96
2024-01-03 21:34:00,216.67,6.16,49.97
2024-01-03 21:36:00,216.46,6.18,49.97
2024-01-03 21:38:00,216.8,6.21,49.97
2024-01-03 21:40:00,216.67,6.2,49.97
2024-01-03 21:42:00,216.29,6.15,49.97
2024-01-03 21:44:00,216.61,6.16,49.96
2024-01-03 21:46:00,216.63,6.17,49.96
2024-01-03 21:48:00,216.95,6.21,49.96
2024-01-03 21:50:00,216.74,6.11,49.96
2024-01-03 21:52:00,217.24,6.14,49.96
2024-01-03 21:54:00,217.76,6.17,49.97
2024-01-03 21:56:00,217.34,6.19,49.96
2024-01-03 21:58:00,216.94,6.14,49.95
2024-01-03 22:00:00,216.86,6.09,49.96
2024-01-03 22:02:00,217.26,6.06,49.97
2024-01-03 22:04:00,216.98,6.2,49.97
2024-01-03 22:06:00,216.99,6.15,49.98
2024-01-03 22:08:00,216.55,6.2,49.99
2024-01-03 22:10:00,216.8,6.28,49.99
2024-01-03 22:12:00,217.14,6.15,50.0
2024-01-03 22:14:00,217.13,6.14,50.01
2024-01-03 22:16:00,216.96,6.09,50.01
2024-01-03 22:18:00,217.18,6.23,50.01
2024-01-03 22:20:00,217.64,6.08,50.0
2024-01-03 22:22:00,217.54,6.14,50.0
2024-01-03 22:24:00,217.78,6.12,50.01
2024-01-03 22:26:00,217.77,6.1,50.0
2024-01-03 22:28:00,217.72,6.14,50.0
2024-01-03 22:30:00,217.74,6.12,50.02
2024-01-03 22:32:00,217.33,6.12,50.05
2024-01-03 22:34:00,216.97,6.09,50.05
2024-01-03 22:36:00,216.24,6.16,50.07
2024-01-03 22:38:00,215.7,6.09,50.06
2024-01-03 22:40:00,216.02,6.24,50.05
2024-01-03 22:42:00,216.25,6.24,50.07
2024-01-03 22:44:00,216.17,6.06,50.06
2024-01-03 22:46:00,216.02,6.17,50.06
2024-01-03 22:48:00,216.41,6.24,50.06
2024-01-03 22:50:00,216.8,6.18,50.06
2024-01-03 22:52:00,217.11,6.16,50.08
2024-01-03 22:54:00,216.61,6.14,50.08
2024-01-03 22:56:00,216.76,6.23,50.08
2024-01-03 22:58:00,216.27,6.22,50.09
2024-01-03 23:00:00,215.59,6.19,50.07
2024-01-03 23:02:00,215.35,6.15,50.08
2024-01-03 23:04:00,215.39,6.13,50.09
2024-01-03 23:06:00,215.0,6.22,50.08
2024-01-03 23:08:00,215.0,6.23,50.09
2024-01-03 23:10:00,215.47,6.19,50.09
2024-01-03 23:12:00,215.31,6.2,50.09
2024-01-03 23:14:00,215.28,6.1,50.1
2024-01-03 23:16:00,215.41,6.16,50.08
2024-01-03 23:18:00,215.92,6.21,50.08
2024-01-03 23:20:00,215.53,6.15,50.09
2024-01-03 23:22:00,215.57,6.16,50.1
2024-01-03 23:24:00,215.29,6.27,50.11
2024-01-03 23:26:00,215.13,6.17,50.09
2024-01-03 23:28:00,215.0,6.13,50.09
2024-01-03 23:30:00,215.0,6.13,50.09
2024-01-03 23:32:00,215.18,6.22,50.07
2024-01-03 23:34:00,215.13,6.13,50.08
2024-01-03 23:36:00,215.41,6.15,50.07
2024-01-03 23:38:00,215.24,6.08,50.07
2024-01-03 23:40:00,215.15,6.25,50.06
2024-01-03 23:42:00,215.0,6.12,50.05
2024-01-03 23:44:00,215.0,6.25,50.04
2024-01-03 23:46:00,215.04,6.18,50.03
2024-01-03 23:48:00,215.0,6.23,50.02
2024-01-03 23:50:00,215.28,6.15,50.01
2024-01-03 23:52:00,215.47,6.16,50.01
2024-01-03 23:54:00,215.36,6.2,49.99
2024-01-03 23:56:00,215.0,6.23,50.0
2024-01-03 23:58:00,215.0,6.19,50.0
2024-01-04 00:00:00,215.24,6.09,49.99
2024-01-04 00:02:00,215.13,6.23,50.02
2024-01-04 00:04:00,215.05,6.13,50.02
2024-01-04 00:06:00,215.51,6.2,50.01
2024-01-04 00:08:00,215.84,6.22,50.0
2024-01-04 00:10:00,215.98,6.23,50.02
2024-01-04 00:12:00,215.95,6.16,50.03
2024-01-04 00:14:00,215.53,6.21,50.01
2024-01-04 00:16:00,215.9,6.17,50.03
2024-01-04 00:18:00,216.08,6.12,50.04
2024-01-04 00:20:00,216.62,6.21,50.03
2024-01-04 00:22:00,216.51,6.18,50.03
2024-01-04 00:24:00,217.1,6.17,50.0
2024-01-04 00:26:00,217.22,6.14,50.0
2024-01-04 00:28:00,217.09,6.2,50.01
2024-01-04 00:30:00,217.19,6.14,50.01
2024-01-04 00:32:00,217.2,6.12,50.02
2024-01-04 00:34:00,217.36,6.23,50.03
2024-01-04 00:36:00,217.12,6.2,50.02
2024-01-04 00:38:00,217.36,6.13,50.01
2024-01-04 00:40:00,217.46,6.02,49.99
2024-01-04 00:42:00,217.4,6.16,49.99
