timestamp,voltage,current,frequency
2024-01-09 08:00:00,234.57,5.77,50.01
2024-01-09 08:02:00,234.36,5.85,50.0
2024-01-09 08:04:00,233.76,5.78,50.0
2024-01-09 08:06:00,234.24,5.86,50.02
2024-01-09 08:08:00,234.82,5.78,50.01
2024-01-09 08:10:00,234.68,5.77,50.0
2024-01-09 08:12:00,234.67,5.74,50.0
2024-01-09 08:14:00,235.0,5.77,50.0
2024-01-09 08:16:00,235.0,5.81,50.0
2024-01-09 08:18:00,234.87,5.79,49.99
2024-01-09 08:20:00,235.0,5.71,50.0
2024-01-09 08:22:00,234.51,5.86,50.0
2024-01-09 08:24:00,234.08,5.85,50.01
2024-01-09 08:26:00,233.92,5.86,49.98
2024-01-09 08:28:00,233.46,5.9,49.98
2024-01-09 08:30:00,232.81,5.81,49.97
2024-01-09 08:32:00,232.75,5.83,49.97
2024-01-09 08:34:00,232.73,5.91,49.98
2024-01-09 08:36:00,232.89,5.9,49.97
2024-01-09 08:38:00,232.45,5.91,49.98
2024-01-09 08:40:00,232.5,5.82,49.97
2024-01-09 08:42:00,232.79,5.89,49.98
2024-01-09 08:44:00,233.07,5.87,49.98
2024-01-09 08:46:00,233.01,5.9,49.97
2024-01-09 08:48:00,233.14,5.8,49.97
2024-01-09 08:50:00,233.05,5.8,49.98
2024-01-09 08:52:00,232.58,5.85,49.98
2024-01-09 08:54:00,231.95,5.84,49.98
2024-01-09 08:56:00,232.1,5.85,49.99
2024-01-09 08:58:00,232.06,5.86,49.99
2024-01-09 09:00:00,232.39,5.82,49.98
2024-01-09 09:02:00,232.15,5.84,50.0
2024-01-09 09:04:00,232.35,5.8,49.99
2024-01-09 09:06:00,232.48,5.81,49.99
2024-01-09 09:08:00,232.95,5.81,49.99
2024-01-09 09:10:00,233.39,5.8,49.99
2024-01-09 09:12:00,233.3,5.78,49.99
2024-01-09 09:14:00,233.22,5.85,50.0
2024-01-09 09:16:00,233.51,5.85,49.98
2024-01-09 09:18:00,233.66,5.91,49.95
2024-01-09 09:20:00,233.91,5.81,49.94
2024-01-09 09:22:00,234.19,5.9,49.95
2024-01-09 09:24:00,234.06,5.77,49.95
2024-01-09 09:26:00,234.36,5.79,49.95
2024-01-09 09:28:00,235.0,5.85,49.96
2024-01-09 09:30:00,234.49,5.77,49.96
2024-01-09 09:32:00,234.14,5.9,49.98
2024-01-09 09:34:00,233.95,5.91,49.98
2024-01-09 09:36:00,234.86,5.81,49.98
2024-01-09 09:38:00,235.0,5.86,49.99
2024-01-09 09:40:00,234.95,5.83,49.98
2024-01-09 09:42:00,235.0,5.74,49.96
2024-01-09 09:44:00,235.0,5.86,49.97
2024-01-09 09:46:00,234.97,5.89,49.96
2024-01-09 09:48:00,234.3,5.7,49.95
2024-01-09 09:50:00,234.59,5.78,49.96
2024-01-09 09:52:00,235.0,5.74,49.96
2024-01-09 09:54:00,235.0,5.76,49.98
2024-01-09 09:56:00,234.9,5.78,50.0
2024-01-09 09:58:00,235.0,5.85,50.01
2024-01-09 10:00:00,234.77,5.87,50.0
2024-01-09 10:02:00,234.58,5.79,50.0
2024-01-09 10:04:00,234.87,5.82,49.99
2024-01-09 10:06:00,235.0,5.79,49.99
2024-01-09 10:08:00,235.0,5.82,49.99
2024-01-09 10:10:00,234.87,5.84,49.99
